location,salary_bin,job_count
"Bee Cave, TX",Ultra High,0
"Bell Gardens, CA, USA",Low,1
"Bell Gardens, CA, USA",Medium,0
"Bell Gardens, CA, USA",High,0
"Bell Gardens, CA, USA",Very High,0
"Bell Gardens, CA, USA",Ultra High,0
"Bellaire, TX, US",Low,0
"Bellaire, TX, US",Medium,1
"Bellaire, TX, US",High,0
"Bellaire, TX, US",Very High,0
"Bellaire, TX, US",Ultra High,0
"Belle Mead, NJ, US",Low,0
"Belle Mead, NJ, US",Medium,1
"Belle Mead, NJ, US",High,0
"Belle Mead, NJ, US",Very High,0
"Belle Mead, NJ, US",Ultra High,0
"Bellevue, WA",Low,0
"Bellevue, WA",Medium,2
"Bellevue, WA",High,1
"Bellevue, WA",Very High,0
"Bellevue, WA",Ultra High,0
"Bellevue, WA, US",Low,0
"Bellevue, WA, US",Medium,2
"Bellevue, WA, US",High,0
"Bellevue, WA, US",Very High,0
"Bellevue, WA, US",Ultra High,0
"Bellevue, WA, USA",Low,2
"Bellevue, WA, USA",Medium,4
"Bellevue, WA, USA",High,2
"Bellevue, WA, USA",Very High,0
"Bellevue, WA, USA",Ultra High,0
"Bend, OR",Low,0
"Bend, OR",Medium,2
"Bend, OR",High,0
"Bend, OR",Very High,0
"Bend, OR",Ultra High,0
"Bend, OR, USA",Low,0
"Bend, OR, USA",Medium,1
"Bend, OR, USA",High,0
"Bend, OR, USA",Very High,0
"Bend, OR, USA",Ultra High,0
"Benton Harbor, MI",Low,0
"Benton Harbor, MI",Medium,1
"Benton Harbor, MI",High,0
"Benton Harbor, MI",Very High,0
"Benton Harbor, MI",Ultra High,0
"Berkeley, CA, US",Low,0
"Berkeley, CA, US",Medium,0
"Berkeley, CA, US",High,1
"Berkeley, CA, US",Very High,0
"Berkeley, CA, US",Ultra High,0
"Berkeley, CA, USA",Low,0
"Berkeley, CA, USA",Medium,0
"Berkeley, CA, USA",High,1
"Berkeley, CA, USA",Very High,0
"Berkeley, CA, USA",Ultra High,0
"Bethesda, MD",Low,0
"Bethesda, MD",Medium,1
"Bethesda, MD",High,0
"Bethesda, MD",Very High,0
"Bethesda, MD",Ultra High,0
"Bethlehem, GA",Low,0
"Bethlehem, GA",Medium,1
"Bethlehem, GA",High,0
"Bethlehem, GA",Very High,0
"Bethlehem, GA",Ultra High,0
"Bethlehem, PA, US",Low,0
"Bethlehem, PA, US",Medium,2
"Bethlehem, PA, US",High,0
"Bethlehem, PA, US",Very High,0
"Bethlehem, PA, US",Ultra High,0
"Bethpage, NY, US",Low,0
"Bethpage, NY, US",Medium,1
"Bethpage, NY, US",High,0
"Bethpage, NY, US",Very High,0
"Bethpage, NY, US",Ultra High,0
"Beverly Hills, CA, USA",Low,0
"Beverly Hills, CA, USA",Medium,1
"Beverly Hills, CA, USA",High,0
"Beverly Hills, CA, USA",Very High,0
"Beverly Hills, CA, USA",Ultra High,0
"Beverly Hills, FL",Low,1
"Beverly Hills, FL",Medium,0
"Beverly Hills, FL",High,0
"Beverly Hills, FL",Very High,0
"Beverly Hills, FL",Ultra High,0
"Beverly Hills, FL, US",Low,0
"Beverly Hills, FL, US",Medium,1
"Beverly Hills, FL, US",High,0
"Beverly Hills, FL, US",Very High,0
"Beverly Hills, FL, US",Ultra High,0
"Billings, MT, US",Low,2
"Billings, MT, US",Medium,0
"Billings, MT, US",High,0
"Billings, MT, US",Very High,0
"Billings, MT, US",Ultra High,0
"Birmingham, AL",Low,0
"Birmingham, AL",Medium,0
"Birmingham, AL",High,0
"Birmingham, AL",Very High,0
"Birmingham, AL",Ultra High,1
"Birmingham, AL, US",Low,0
"Birmingham, AL, US",Medium,2
"Birmingham, AL, US",High,0
"Birmingham, AL, US",Very High,0
"Birmingham, AL, US",Ultra High,0
"Bismarck, ND, US",Low,1
"Bismarck, ND, US",Medium,1
"Bismarck, ND, US",High,0
"Bismarck, ND, US",Very High,0
"Bismarck, ND, US",Ultra High,0
"Black River Falls, WI",Low,0
"Black River Falls, WI",Medium,1
"Black River Falls, WI",High,0
"Black River Falls, WI",Very High,0
"Black River Falls, WI",Ultra High,0
"Black River Falls, WI, US",Low,1
"Black River Falls, WI, US",Medium,0
"Black River Falls, WI, US",High,0
"Black River Falls, WI, US",Very High,0
"Black River Falls, WI, US",Ultra High,0
"Blacksburg, VA, US",Low,0
"Blacksburg, VA, US",Medium,2
"Blacksburg, VA, US",High,0
"Blacksburg, VA, US",Very High,0
"Blacksburg, VA, US",Ultra High,0
"Bloomfield, CT, US",Low,0
"Bloomfield, CT, US",Medium,0
"Bloomfield, CT, US",High,1
"Bloomfield, CT, US",Very High,0
"Bloomfield, CT, US",Ultra High,0
"Bloomington, MN, USA",Low,1
"Bloomington, MN, USA",Medium,0
"Bloomington, MN, USA",High,0
"Bloomington, MN, USA",Very High,0
"Bloomington, MN, USA",Ultra High,0
"Boca Raton, FL",Low,0
"Boca Raton, FL",Medium,1
"Boca Raton, FL",High,1
"Boca Raton, FL",Very High,0
"Boca Raton, FL",Ultra High,0
"Boca Raton, FL, US",Low,1
"Boca Raton, FL, US",Medium,0
"Boca Raton, FL, US",High,1
"Boca Raton, FL, US",Very High,0
"Boca Raton, FL, US",Ultra High,0
"Boca Raton, FL, USA",Low,0
"Boca Raton, FL, USA",Medium,1
"Boca Raton, FL, USA",High,0
"Boca Raton, FL, USA",Very High,0
"Boca Raton, FL, USA",Ultra High,0
"Bodega Bay, CA, USA",Low,0
"Bodega Bay, CA, USA",Medium,1
"Bodega Bay, CA, USA",High,0
"Bodega Bay, CA, USA",Very High,0
"Bodega Bay, CA, USA",Ultra High,0
"Boiling Springs, Cleveland, NC",Low,0
"Boiling Springs, Cleveland, NC",Medium,1
"Boiling Springs, Cleveland, NC",High,0
"Boiling Springs, Cleveland, NC",Very High,0
"Boiling Springs, Cleveland, NC",Ultra High,0
"Boiling Springs, NC, US",Low,0
"Boiling Springs, NC, US",Medium,1
"Boiling Springs, NC, US",High,0
"Boiling Springs, NC, US",Very High,0
"Boiling Springs, NC, US",Ultra High,0
"Boise, ID, US",Low,0
